OC,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12,DEM,SLOPE,ASPECT,evi,ssm,minimum_2m_air_temperature_median,mean_2m_air_temperature_median,maximum_2m_air_temperature_median,v_component_of_wind_10m_median,total_precipitation_median,LU1_Desc,DOMSOI,GPS_LONG,GPS_LAT
5.7,472,714,1092,1269,1828,2848.5,3139.5,3346,3504,3556.5,2747,1899.5,6,0.7539744,127.95428,0.301969803,25.116745,286.7498,291.06818,296.09015,-2.1658776,0.0000081,Fallow land,Re,-8.925556639,38.73964766
3.7,1017,1222,2053,2439,3242,4580,4810,4961,4995,5270,4543,3492,24,3.6942108,255.48,0.27209238,4.6781645,286.01944,291.07227,296.68176,-1.9380779,0.00000667,Agriculture (excluding fallow land and kitchen gardens),Re,-8.745206354,39.01619339
4.2,831,986,1504,2181,2490,3261,3449,3649,3699,3824,3969,2900,43,0.755512,232.13663,0.398225415,4.560939,285.80377,291.57074,297.76825,-1.8995682,0.00000695,Agriculture (excluding fallow land and kitchen gardens),Re,-8.685027762,38.97250221
12.1,357,574,800,1313,1595,1753,1967,2183,2390,2603,4017,2411,104,5.121291,186.57497,0.223946785,4.9434395,287.0348,290.93185,295.32452,-2.316602,0.00000929,Agriculture (excluding fallow land and kitchen gardens),I,-8.601248224,37.93361456
25,1239,2669,2681,2417,2341,2583,2590,3696,2692,2449,2551,1863,127,9.176155,310.64487,0.540816327,4.8590336,285.80984,291.23044,297.5064,-1.5435523,0.00000694,Forestry,I,-8.481727657,37.58685722
22.3,300,341.5,515.5,649,1134,1548,1735,1821.5,2025,2061.5,2421.5,1497,518,14.219623,247.46246,0.335730376,5.3246145,285.38617,291.19592,297.5733,-1.3769416,0.00000586,Forestry,I,-8.105164104,37.30884037
15.4,468.5,683,1084,1556.5,2116,2491.5,2692.5,2751.5,2965.5,2929.5,3201.5,2400.5,151,5.819975,274.5545,0.355253753,4.664359,285.88287,291.10886,297.30847,-1.2170019,0.00000393,Agriculture (excluding fallow land and kitchen gardens),I,-8.02847573,37.1941453
7.7,276.5,336.5,488.5,667.5,872,1149,1237,1369,1456.5,1682.5,2164.5,1357.5,216,8.368269,187.94324,0.330712054,6.40665,285.9464,291.01163,296.95642,-1.1895064,0.00000381,Abandoned areas,I,-7.98926198,37.22023173
17.9,433,468,742,915,1383,1970,2215,2441,2499,2426,2582,1564,394,9.455255,132.87521,0.292663124,6.741858,285.1508,291.00827,297.4853,-1.3013513,0.00000461,Abandoned areas,I,-7.840226945,37.26737422
7.9,953.5,1328.5,1932.5,2670,3019,3132,3293,3437,3531,3497,4373.5,3128,185,0.46373534,180,0.088119727,3.2028322,285.70517,291.5845,298.41043,-1.212585,0.00000684,Agriculture (excluding fallow land and kitchen gardens),I,-7.845168807,37.63637118
15.6,343.5,452.5,724.5,915,1643,2070,2278,2276,2528.5,2488,2528,1632,290,22.372334,38.13413,0.488974113,5.24419,286.30103,291.38046,297.218,-0.8798423,0.00000474,Abandoned areas,I,-7.694621989,37.23962435
7,577,802,1101,1612.75,1922,2086.25,2251,2392,2562,2555.333333,3854,2669.5,161,2.905491,37.120712,0.120968569,3.0077069,285.70517,291.5845,298.41043,-1.212585,0.00000684,Agriculture (excluding fallow land and kitchen gardens),I,-7.777729769,37.55673214
35,454,554,736,933,1319,1819,2053,2199,2371,2012,2847,1965,204,5.461163,327.8434,0.325136081,3.413773,285.59653,291.33423,298.25952,-1.0835087,0.00000615,Abandoned areas,I,-7.691011843,37.31428407
12.3,537.5,947,1385,1806,1832.5,2429,2675,2698.5,2902.5,2505.5,2934,1996.5,176,3.4449453,340.25027,0.295295942,5.24419,285.59653,291.33423,298.25952,-1.0835087,0.00000615,Abandoned areas,I,-7.633296391,37.26973116
17.1,547,854,1223,1702,1824,2026,2218,2587,2555,2520,3706,2652,194,3.235303,244.56035,0.117470412,3.0197165,285.61426,291.84967,298.83994,-1.2146826,0.00000618,Forestry,I,-7.706921315,37.5516643
12,466,495,800,1039,1521,1987,2160,2255,2354,2414,2779,1972,148,7.50337,202.81398,0.242528736,3.0197165,285.61426,291.84967,298.83994,-1.2146826,0.00000618,Forestry,I,-7.716184921,37.5868922
24.6,564,735,1054,1394,1940,2453,2662,2823,2991,2761,3236,2083,169,4.9433694,200.64429,0.129455989,2.5244887,286.30103,291.38046,297.218,-0.8798423,0.00000474,Forestry,I,-7.575663712,37.22513623
14.7,263,271,429,613,1118,1548,1757,1769,1955,1983,2631,1699,109,8.838603,121.36669,0.278894472,3.0197165,285.61426,291.84967,298.83994,-1.2146826,0.00000618,Semi-natural and natural areas not in use,I,-7.64535244,37.58177909
8.4,386,712,1000,1352,1637,2095,2286,2173,2492,2387,2688,1825,108,9.266308,352.83282,0.126870083,3.4723516,285.59653,291.33423,298.25952,-1.0835087,0.00000615,Agriculture (excluding fallow land and kitchen gardens),I,-7.554494274,37.32156629
16.3,408,531.5,835.5,1186.5,1549,1941.5,2157.5,2309,2381.5,2135,2898.5,2096.5,128,6.874049,302.48737,0.189543658,2.5244887,285.59653,291.33423,298.25952,-1.0835087,0.00000615,Agriculture (excluding fallow land and kitchen gardens),I,-7.514302953,37.25516696
6.2,733,1114,1508,2054,2237,2401,2565,2812,2846,2658,4207,3091,99,10.158911,30.882078,0.133924869,2.981566,285.61426,291.84967,298.83994,-1.2146826,0.00000618,Agriculture (excluding fallow land and kitchen gardens),I,-7.517479223,37.62426656
10.1,626.5,767,1186,1924,2297.5,2509,2639.5,2733,2811.5,3067,3810,2732.5,163,3.635834,104.75905,0.106550794,3.5617642,285.57678,291.89883,298.6168,-1.2011443,0.00000668,Forestry,I,-7.558908662,37.78285534
17.6,446.5,736,1185.5,1828.5,2501.5,2860,3183.5,3371,3615.5,3035,3854.5,2384.5,215,4.099251,334.62064,0.128750295,3.2930722,285.57678,291.89883,298.6168,-1.2011443,0.00000668,Forestry,I,-7.532160065,37.76937439
18.9,518,664.5,1009.5,1390,1641,2194.5,2506,2701.5,2759,2906.5,2975,2089,171,6.589492,85.98222,0.230841498,7.5831885,286.67706,290.15073,294.17294,-2.2918491,0.00000906,Forestry,Lc,-8.908556192,39.40977721
18.7,446,668,1071,1203,1784.5,2596,3019.5,3135,3222.5,2929,2993.5,1895.5,116,4.276237,237.23271,0.363475177,7.735282,286.67706,290.15073,294.17294,-2.2918491,0.00000906,Agriculture (excluding fallow land and kitchen gardens),Lc,-8.795564111,39.43207414
27.9,573,835,1098,1435,1533,1983,2170,2359,2471,2472,3191,2352,300,10.182932,40.00076,0.286309214,9.3408165,287.44556,289.5541,292.08408,-2.5678134,0.0000149,Agriculture (excluding fallow land and kitchen gardens),Lc,-8.781341154,39.54593442
13.6,408.5,531.5,851.5,1120,1397,2053.5,2278.5,2519.5,2631.5,2728.5,2899,1777,102,5.4990015,139.17082,0.241434052,8.58022,285.30292,289.83032,294.87115,-1.7344363,0.00000991,Agriculture (excluding fallow land and kitchen gardens),Lc,-8.602248621,39.50689337
27.1,329,409,529,748,1163,1690,1941,2145,2350,2516,2969,1721,148,2.5867932,44.224716,0.357200976,7.179347,285.30292,289.83032,294.87115,-1.7344363,0.00000991,Agriculture (excluding fallow land and kitchen gardens),Lc,-8.532099306,39.59450173
20.8,373,544,868,1125.5,1461.5,2219,2521,3137,2857.5,2506.5,3184,2056.5,70,6.9471526,175.1287,0.155724362,4.5721235,285.71057,291.79486,298.19067,-1.6565858,0.00000888,Forestry,Lg,-8.465129867,38.53433046
7.4,620,876,1172,1717,1877,2098,2333,2590,2801,2857,4671,3402,79,3.0848722,72.52034,0.129594954,5.2331185,285.92307,291.43985,297.40698,-1.5254896,0.00000622,Agriculture (excluding fallow land and kitchen gardens),Lg,-8.288325177,38.06908735
27.4,535.5,564.5,745.5,1027.5,1587.5,2109.5,2351,2571,2717.5,2492.5,3550,2254,168,6.606092,134.33748,0.243455497,5.7404203,285.71057,291.79486,298.19067,-1.6565858,0.00000888,Forestry,Lg,-8.408011888,38.58247455
6.6,665,1199.5,1756,2564.5,2225,2833,3120.5,3746,3546,3609,3830.5,2717,94,1.8218378,319.7637,0.131496773,4.234041,285.74805,291.61475,298.07703,-1.3200277,0.00000732,Agriculture (excluding fallow land and kitchen gardens),Lg,-8.202449758,38.01172717
12.7,843,1002,1432,2132,2465,2735,2911,3020,3220,3178,4864,3638,152,0.75232327,128.05244,0.150826446,5.318382,285.6757,291.6873,297.8707,-1.5335618,0.00000853,Agriculture (excluding fallow land and kitchen gardens),Lg,-8.333772287,38.48586992
16.2,427,520,809,1133,1386,1748,1914,2381,2156,2333,2416,1801,94,2.5371463,248.57237,0.271834701,4.9235654,285.53912,291.43488,298.01315,-1.365752,0.00000749,Agriculture (excluding fallow land and kitchen gardens),Lg,-8.208304069,38.28812514
14.6,533,974,1371,1929,1785,2190,2463,2750,2759,2663,3929,2876,233,2.842775,347.95508,0.119760479,4.0929117,285.71057,291.79486,298.19067,-1.6565858,0.00000888,Agriculture (excluding fallow land and kitchen gardens),Lg,-8.306084154,38.63924275
13.4,403,753,1017,1560,1589,2126,2418,2727,2844,2717,3965,2486,171,3.4993706,58.032993,0.254308786,3.7705674,285.71057,291.79486,298.19067,-1.6565858,0.00000888,Forestry,Lg,-8.308355998,38.73130171
4.6,304,395,577,963,1217,1468,1707,1798,2071,2036,3107,1907,160,2.7415528,120.46923,0.172198935,4.9235654,285.53912,291.43488,298.01315,-1.365752,0.00000749,Abandoned areas,Lg,-8.173463277,38.33184058
13.2,547.5,739,1056,1441,1823,2091,2291,2523,2675,2732.5,4097.5,2840.5,183,1.5071781,307.9694,0.14754491,4.476552,285.71057,291.79486,298.19067,-1.6565858,0.00000888,Agriculture (excluding fallow land and kitchen gardens),Lg,-8.276096238,38.70052885
9.7,522,782,1084,1644,1906,2072,2267,2544,2658,2750,4703,3358,131,0.7505426,128.15894,0.119132856,4.5168786,285.74805,291.61475,298.07703,-1.3200277,0.00000732,Agriculture (excluding fallow land and kitchen gardens),Lg,-8.045813739,38.20837457
16.5,424,649,905,1397,1644,1952,2197,2361,2639,2793,3891,2521,181,2.5641022,223.70059,0.160541092,4.588806,285.53912,291.43488,298.01315,-1.365752,0.00000749,Forestry,Lg,-8.069857195,38.29624505
9.7,509,741,1106,1404,1722,2276,2597,2737,2944,3075,3559,2428,186,2.2546427,231.92186,0.138440632,5.102376,285.53912,291.43488,298.01315,-1.365752,0.00000749,Forestry,Lg,-8.103666991,38.41923153
8.2,372.5,617.5,890.5,1372.5,1727.5,1992.5,2242,2522,2709.5,2921,3792,2349,155,3.4798744,302.16806,0.154309631,4.185716,286.0077,291.65167,298.37027,-1.3453646,0.00000588,Agriculture (excluding fallow land and kitchen gardens),Lg,-7.964727398,38.16838432
20.8,366.5,657.5,966,1428,1613.5,1978,2190.5,2379.5,2522.5,2593,3339,2179.5,319,6.0503464,283.24338,0.159841607,4.755004,285.53912,291.43488,298.01315,-1.365752,0.00000749,Agriculture (excluding fallow land and kitchen gardens),Lg,-8.007829938,38.32659296
15,626,898,1238,1818,2049,2274,2461,2670,2796,2792,4403,2915,192,2.9664295,98.98591,0.127197244,3.0921094,285.68,291.44244,298.45166,-1.2112204,0.00000644,Forestry,Lo,-8.201674106,37.75280367
23.1,381,559.5,748.5,1117.5,1421.5,1562.5,1770.5,1877.5,2164.5,2080.5,4072,2684,246,3.6322474,104.773994,0.151307597,3.0921094,285.62476,291.2829,298.06082,-1.2921187,0.0000063,Agriculture (excluding fallow land and kitchen gardens),Lo,-8.165260477,37.70434947
11.4,517,663,1020,1111.5,1488,2490.5,2840,3052.5,3177,3236.5,2715.5,1834,9,1.514466,232.24557,0.38700361,5.1502433,286.01944,291.07227,296.68176,-1.9380779,0.00000667,Agriculture (excluding fallow land and kitchen gardens),Je,-8.598580275,39.24855054
9.3,475,504,820,1144,1298,1411,1521,1685,1704,1641,2174,1579,107,1.9451214,342.41925,0.188819349,3.359962,285.68,291.44244,298.45166,-1.2112204,0.00000644,Agriculture (excluding fallow land and kitchen gardens),Lf,-8.173618568,37.90628533
